rapport;compen;n;type_pertuB1;type_pertuB;sp_pertu;I_old;I;I_Irecymax;lessi;lambda;D;a2;a3;a4;a5;b2;b3;b4;b5;alpha3;m;Eq_B1;Eq_B2;recy_tot;recy_mort;recy_no_convertie;recy_B2;recy_mort_B2;recy_noconvers_B2;VC_11;VC_21;VC_12;VC_22;R_11;R_21;R_12;R_22;VP;fluxEq_I;fluxEq_mortB1;fluxEq_huntB1;fluxEq_recyB2;fluxEq_mortB2;fluxEq_prelB2;J11;J12;J21;J22;J_inverse11;J_inverse12;J_inverse21;J_inverse22;supp
0.0;1.0;1.0;1.0;1.0;2.0;0.1;3.8999999999999977;0.1026315789473684;0.1;0.9;0.1;2.0;0.401;0.5;0.5;1.0;0.5;0.8;0.4;1.0;0.1;0.999999999999956;18.999999999998902;34.199999999996145;34.199999999996145;0.0;34.199999999996145;34.199999999996145;0.0;0.0017136827531644046;0.04323928006328794;0.04323928006328794;1.1022856012657578;1.0;0.9948696313841239;0.9948696313841239;1.0;-0.3788379549018346;3.8999999999999977;0.0999999999999956;37.999999999996135;34.199999999996145;37.99999999999572;37.999999999996135;-38.099999999997806;1.5099999999998905;37.999999999997804;-1.8999999999998685;-0.1265822784810183;-0.10059960026649317;-2.531645569620395;-2.538307794803607;
0.0;1.0;1.0;1.0;1.0;2.0;0.1;7.699999999999995;0.20263157894736836;0.1;0.8;0.1;2.0;0.401;0.5;0.5;1.0;0.5;0.8;0.4;1.0;0.1;0.9999999999999997;18.999999999999996;30.39999999999999;30.39999999999999;0.0;30.39999999999999;30.39999999999999;0.0;0.0004743949044585991;0.016137898089171984;0.01613789808917198;0.5602579617834395;1.0;0.9898808949551526;0.9898808949551525;1.0;-0.7601975062112447;7.699999999999995;0.09999999999999998;37.99999999999998;30.39999999999999;37.999999999999986;37.99999999999998;-38.099999999999994;1.1200000000000003;37.99999999999999;-1.9000000000000001;-0.0636942675159236;-0.03754609453570233;-1.2738853503184713;-1.2772376801877305;
0.0;1.0;1.0;1.0;1.0;2.0;0.1;11.499999999999996;0.3026315789473684;0.1;0.7;0.1;2.0;0.401;0.5;0.5;1.0;0.5;0.8;0.4;1.0;0.1;0.9999999999999999;18.999999999999996;26.59999999999999;26.59999999999999;0.0;26.59999999999999;26.59999999999999;0.0;0.0001346422872340425;0.007027220744680849;0.00702722074468085;0.378044414893617;1.0;0.9849664611537782;0.9849664611537783;1.0;-1.1492705711423463;11.499999999999996;0.09999999999999999;37.999999999999986;26.59999999999999;37.999999999999986;37.999999999999986;-38.099999999999994;0.7299999999999998;37.99999999999999;-1.8999999999999997;-0.0425531914893617;-0.01634938409854423;-0.8510638297872339;-0.8533034714445689;
0.0;1.0;1.0;1.0;1.0;2.0;0.1;15.299999999999995;0.40263157894736845;0.1;0.6;0.1;2.0;0.401;0.5;0.5;1.0;0.5;0.8;0.4;1.0;0.1;0.9999999999999998;18.999999999999996;22.79999999999999;22.79999999999999;0.0;22.79999999999999;22.79999999999999;0.0;2.192891373801915e-05;0.0024573282747603824;0.0024573282747603824;0.2866465654952076;1.0;0.9801245036583194;0.9801245036583194;1.0;-1.5465450389364757;15.299999999999995;0.09999999999999998;37.999999999999986;22.79999999999999;37.999999999999986;37.999999999999986;-38.099999999999994;0.33999999999999986;37.99999999999999;-1.9;-0.031948881789137386;-0.005717168320161424;-0.6389776357827476;-0.6406591558769127;
0.0;1.0;1.0;1.0;1.0;2.0;0.1;19.099999999999994;0.5026315789473684;0.1;0.5;0.1;2.0;0.401;0.5;0.5;1.0;0.5;0.8;0.4;1.0;0.1;0.9999999999999998;18.999999999999993;18.99999999999999;18.99999999999999;0.0;18.99999999999999;18.99999999999999;0.0;3.796355498721236e-07;-0.0002892822890025578;-0.0002892822890025578;0.23171435421994876;1.0;-0.975353258381577;-0.975353258381577;1.0;-1.95256250876596;19.099999999999994;0.09999999999999998;37.99999999999998;18.99999999999999;37.99999999999998;37.99999999999998;-38.09999999999999;-0.050000000000000044;37.999999999999986;-1.8999999999999995;-0.02557544757033249;0.000673038093956119;-0.5115089514066498;-0.512855027594562;
0.0;1.0;1.0;1.0;1.0;2.0;0.1;22.89999999999999;0.6026315789473684;0.1;0.4;0.1;2.0;0.401;0.5;0.5;1.0;0.5;0.8;0.4;1.0;0.1;0.9999999999999999;18.999999999999996;15.199999999999996;15.199999999999996;0.0;15.199999999999996;15.199999999999996;0.0;2.4509594882729206e-05;-0.002122308102345415;-0.0021223081023454154;0.1950538379530916;1.0;-0.970651020770466;-0.9706510207704663;1.0;-2.3679269511495042;22.89999999999999;0.09999999999999999;37.999999999999986;15.199999999999996;37.999999999999986;37.999999999999986;-38.099999999999994;-0.43999999999999995;37.99999999999999;-1.8999999999999997;-0.021321961620469086;0.004937717427898104;-0.4264392324093817;-0.42756144091572224;
0.0;1.0;1.0;1.0;1.0;2.0;0.1;26.699999999999996;0.7026315789473686;0.1;0.29999999999999993;0.1;2.0;0.401;0.5;0.5;1.0;0.5;0.8;0.4;1.0;0.1;0.9999999999999998;18.999999999999996;11.399999999999993;11.399999999999993;0.0;11.399999999999993;11.399999999999993;0.0;7.477776508226693e-05;-0.0034325696983546618;-0.0034325696983546618;0.16884860603290672;1.0;-0.966016143247486;-0.966016143247486;1.0;-2.793315252495616;26.699999999999996;0.09999999999999998;37.999999999999986;11.399999999999993;37.999999999999986;37.999999999999986;-38.099999999999994;-0.8300000000000001;37.99999999999999;-1.9;-0.01828153564899452;0.007986144520350237;-0.3656307129798903;-0.3665928990666795;
0.0;1.0;1.0;1.0;1.0;2.0;0.1;30.499999999999993;0.8026315789473686;0.1;0.19999999999999996;0.1;2.0;0.401;0.5;0.5;1.0;0.5;0.8;0.4;1.0;0.1;0.9999999999999999;18.999999999999996;7.599999999999996;7.599999999999996;0.0;7.599999999999996;7.599999999999996;0.0;0.00014139800000000007;-0.004415790000000001;-0.00441579;0.14918419999999996;1.0;-0.9614470327853103;-0.9614470327853101;1.0;-3.2294901687515774;30.499999999999993;0.09999999999999999;37.999999999999986;7.599999999999996;37.999999999999986;37.999999999999986;-38.099999999999994;-1.2200000000000002;37.99999999999999;-1.8999999999999997;-0.016;0.01027368421052632;-0.32;-0.32084210526315793;
0.0;1.0;1.0;1.0;1.0;2.0;0.1;34.29999999999999;0.9026315789473685;0.1;0.09999999999999998;0.1;2.0;0.401;0.5;0.5;1.0;0.5;0.8;0.4;1.0;0.1;0.9999999999999999;18.999999999999996;3.799999999999998;3.799999999999998;0.0;3.799999999999998;3.799999999999998;0.0;0.00021892736486486488;-0.005180827702702702;-0.005180827702702702;0.13388344594594592;1.0;-0.9569421486063862;-0.9569421486063862;1.0;-3.677316397111656;34.29999999999999;0.09999999999999999;37.999999999999986;3.799999999999998;37.999999999999986;37.999999999999986;-38.099999999999994;-1.6099999999999999;37.99999999999999;-1.8999999999999997;-0.014224751066856332;0.012053604851388788;-0.2844950213371266;-0.2852436924459086;
0.0;1.0;1.0;1.0;1.0;2.0;0.1;38.09999999999999;1.0026315789473685;0.1;0.0;0.1;2.0;0.401;0.5;0.5;1.0;0.5;0.8;0.4;1.0;0.1;0.9999999999999999;18.999999999999996;0.0;0.0;0.0;0.0;0.0;0.0;0.00030409731113956466;-0.005793053777208707;-0.005793053777208707;0.12163892445582586;1.0;-0.9525000000000001;-0.9525000000000001;1.0;-4.137780735344753;38.09999999999999;0.09999999999999999;37.999999999999986;0.0;37.999999999999986;37.999999999999986;-38.099999999999994;-1.9999999999999998;37.99999999999999;-1.8999999999999997;-0.012804097311139566;0.013477997169620597;-0.25608194622279135;-0.2567558460812724;
