rapport;compen;n;type_pertuB1;type_pertuB;sp_pertu;I_old;I;I_Irecymax;lessi;lambda;D;a2;a3;a4;a5;b2;b3;b4;b5;alpha3;m;Eq_B1;Eq_B2;recy_tot;recy_mort;recy_no_convertie;recy_B2;recy_mort_B2;recy_noconvers_B2;VC_11;VC_21;VC_12;VC_22;R_11;R_21;R_12;R_22;VP;fluxEq_I;fluxEq_mortB1;fluxEq_huntB1;fluxEq_recyB2;fluxEq_mortB2;fluxEq_prelB2;J11;J12;J21;J22;J_inverse11;J_inverse12;J_inverse21;J_inverse22;supp
0.0;1.0;1.0;1.0;1.0;1.0;0.05;313291.18924050627;0.5500000877777779;0.1;0.45;1.58e-06;2.0;0.4;0.2;0.5;0.3;0.5;0.4;0.4;1.0;0.1;0.5;569620.2531645569;256329.1139240506;256329.1139240506;0.0;256329.1139240506;256329.1139240506;0.0;2.7430550140904315e-10;2.362437939096092e-10;2.362437939096092e-10;0.00029904277710077117;1.0;0.0008248528721921561;0.0008248528721921561;1.0;-1.045000120277615;313291.18924050627;0.05;569620.2531645569;256329.1139240506;569620.2531645568;569620.2531645569;-1139240.606329114;-0.14500000000000002;1139240.5063291139;-0.8999999999999998;-7.559808040933172e-07;1.217969073261456e-07;-0.9569377267004017;-0.9569378106982689;
0.0;1.0;1.0;1.0;1.0;1.0;0.05;569620.3031645569;1.000000087777778;0.1;0.0;1.58e-06;2.0;0.4;0.2;0.5;0.3;0.5;0.4;0.4;1.0;0.1;0.49999999999999994;569620.2531645569;0.0;0.0;0.0;0.0;0.0;0.0;2.7430541742437777e-10;1.2993409107053056e-10;1.299340910705306e-10;0.0001644735330006716;1.0;0.0006117273663349192;0.0006117273663349193;1.0;-1.9000015800038828;569620.3031645569;0.049999999999999996;569620.2531645568;0.0;569620.2531645568;569620.2531645568;-1139240.606329114;-0.9999999999999999;1139240.5063291139;-0.8999999999999999;-4.157894563961226e-07;4.6198828488458064e-07;-0.5263157675900286;-0.5263158137888572;
0.0;1.0;1.0;1.0;1.0;1.0;0.05;45000.04999999999;0.1000001111111111;0.1;0.9;2e-06;2.0;0.4;0.2;0.5;0.3;0.5;0.4;0.4;1.0;0.1;0.5000000000000001;450000.0000000001;405000.00000000023;405000.00000000023;0.0;405000.00000000023;405000.00000000023;0.0;3.4722348115433076e-10;1.6447341489723634e-09;1.6447341489723634e-09;0.0016447341489723637;1.0;0.0021764230229085646;0.0021764230229085646;1.0;-0.1899999290000487;45000.04999999999;0.05000000000000002;450000.00000000023;405000.00000000023;450000.00000000023;450000.00000000023;-900000.1000000002;0.7100000000000004;900000.0000000002;-0.9000000000000002;-5.263155124655202e-06;-4.152044598339106e-06;-5.263155124655202;-5.263155709450216;
0.0;1.0;1.0;1.0;1.0;1.0;0.05;247500.05;0.5500001111111111;0.1;0.45;2e-06;2.0;0.4;0.2;0.5;0.3;0.5;0.4;0.4;1.0;0.1;0.5;450000.0;202499.99999999997;202499.99999999997;0.0;202499.99999999997;202499.99999999997;0.0;3.4722213546288305e-10;2.990427013147306e-10;2.990427013147306e-10;0.00029904270131473064;1.0;0.0009280318933003266;0.0009280318933003266;1.0;-1.0450001522501842;247500.05;0.05;450000.0;202499.99999999997;449999.99999999994;450000.0;-900000.1;-0.14500000000000002;900000.0;-0.8999999999999998;-9.56937707470076e-07;1.5417329731462338e-07;-0.9569377074700759;-0.9569378137964879;
0.0;1.0;1.0;1.0;1.0;1.0;0.05;450000.04999999993;1.000000111111111;0.1;0.0;2e-06;2.0;0.4;0.2;0.5;0.3;0.5;0.4;0.4;1.0;0.1;0.49999999999999994;450000.0;0.0;0.0;0.0;0.0;0.0;0.0;3.4722200089367444e-10;1.644734928056917e-10;1.644734928056917e-10;0.0001644734928056917;1.0;0.0006882470204940722;0.0006882470204940722;1.0;-1.900002000006222;450000.04999999993;0.049999999999999996;449999.99999999994;0.0;449999.99999999994;449999.99999999994;-900000.1;-0.9999999999999999;900000.0;-0.8999999999999999;-5.263157617728547e-07;5.847952908587274e-07;-0.5263157617728547;-0.5263158202523838;
0.0;1.0;1.0;1.0;1.0;1.0;0.05;35856.62370517927;0.10000013944444444;0.1;0.9;2.51e-06;2.0;0.4;0.2;0.5;0.3;0.5;0.4;0.4;1.0;0.1;0.5000000000000001;358565.73705179297;322709.1633466138;322709.1633466138;0.0;322709.1633466138;322709.1633466138;0.0;4.357658717375236e-10;2.0641404950918444e-09;2.0641404950918453e-09;0.0016447334622245774;1.0;0.0024381750502811294;0.0024381750502811303;1.0;-0.18999991089507684;35856.62370517927;0.05000000000000002;358565.737051793;322709.1633466138;358565.73705179314;358565.737051793;-717131.5741035859;0.7100000000000006;717131.4741035859;-0.9000000000000005;-6.6052587949474855e-06;-5.210815271569686e-06;-5.263154418284849;-5.263155152202493;
0.0;1.0;1.0;1.0;1.0;1.0;0.05;197211.20537848602;0.5500001394444445;0.1;0.45;2.51e-06;2.0;0.4;0.2;0.5;0.3;0.5;0.4;0.4;1.0;0.1;0.5;358565.7370517928;161354.58167330673;161354.58167330673;0.0;161354.58167330673;161354.58167330673;0.0;4.35763752240788e-10;3.7529847465753447e-10;3.7529847465753447e-10;0.00029904260928887214;1.0;0.0010396441439035223;0.0010396441439035223;1.0;-1.0450001910740403;197211.20537848602;0.05;358565.7370517928;161354.58167330673;358565.73705179273;358565.7370517928;-717131.5741035856;-0.14500000000000002;717131.4741035856;-0.8999999999999998;-1.2009567935693039e-06;1.934874834083879e-07;-0.9569376841189672;-0.956937817558611;
0.0;1.0;1.0;1.0;1.0;1.0;0.05;358565.7870517927;1.0000001394444444;0.1;0.0;2.51e-06;2.0;0.4;0.2;0.5;0.3;0.5;0.4;0.4;1.0;0.1;0.49999999999999994;358565.73705179273;0.0;0.0;0.0;0.0;0.0;0.0;4.3576354029098834e-10;2.0641417221689652e-10;2.0641417221689652e-10;0.0001644734439975271;1.0;0.0007710209410549581;0.0007710209410549581;1.0;-1.9000025100098;358565.7870517927;0.049999999999999996;358565.7370517927;0.0;358565.7370517927;358565.7370517927;-717131.5741035854;-0.9999999999999999;717131.4741035855;-0.8999999999999997;-6.605262721599753e-07;7.339180801777504e-07;-0.5263157547091437;-0.5263158281009517;
0.0;1.0;1.0;1.0;1.0;1.0;0.05;28481.062658227835;0.10000017555555553;0.1;0.9;3.16e-06;2.0;0.4;0.2;0.5;0.3;0.5;0.4;0.4;1.0;0.1;0.5000000000000001;284810.1265822786;256329.1139240508;256329.1139240508;0.0;256329.1139240508;256329.1139240508;0.0;5.486142539059481e-10;2.5986774873943366e-09;2.5986774873943366e-09;0.0016447325869584411;1.0;0.002735717143586711;0.002735717143586711;1.0;-0.18999988782012167;28481.062658227835;0.05000000000000002;284810.12658227864;256329.1139240508;284810.12658227864;284810.12658227864;-569620.3531645571;0.7100000000000004;569620.2531645572;-0.9000000000000002;-8.315782558454514e-06;-6.560228462780785e-06;-5.263153518009187;-5.263154441985026;
0.0;1.0;1.0;1.0;1.0;1.0;0.05;156645.61962025313;0.5500001755555556;0.1;0.45;3.16e-06;2.0;0.4;0.2;0.5;0.3;0.5;0.4;0.4;1.0;0.1;0.49999999999999994;284810.1265822784;128164.55696202524;128164.55696202524;0.0;128164.55696202524;128164.55696202524;0.0;5.486108945251949e-10;4.724871373617208e-10;4.724871373617208e-10;0.00029904249200108924;1.0;0.0011665176778844456;0.0011665176778844456;1.0;-1.04500024055546;156645.61962025313;0.049999999999999996;284810.12658227835;128164.55696202524;284810.1265822783;284810.12658227835;-569620.3531645568;-0.14500000000000013;569620.2531645568;-0.8999999999999995;-1.511961493885248e-06;2.435937962370681e-07;-0.9569376543577522;-0.9569378223534737;
